1000 3030
1 580 -2
1 146 0
2 101 4
2 350 -1
2 191 4
3 165 -1
3 146 -3
3 201 -4
3 473 2
4 5 2
4 377 -1
5 964 0
5 775 -5
5 365 0
5 850 -4
5 437 -1
6 190 1
6 459 -2
7 980 -2
8 794 4
8 805 -5
8 42 0
8 72 1
8 102 -5
9 316 -1
10 177 -5
10 876 -1
10 439 4
10 483 2
11 658 4
11 316 -4
11 119 2
12 714 -4
13 648 -4
13 170 -1
14 507 -2
14 54 -4
14 396 -5
14 608 4
15 663 -3
16 839 -2
17 389 3
17 938 0
17 982 2
17 140 0
18 398 -3
19 447 0
19 744 -2
20 566 -2
20 471 2
21 280 -3
21 296 3
21 855 1
21 926 4
21 969 -4
22 453 2
22 692 3
22 48 -4
23 167 4
23 531 0
23 529 3
24 669 2
24 289 2
24 264 -4
24 436 3
24 77 -3
25 910 -4
25 244 2
25 711 -2
26 832 3
26 346 3
27 981 -2
27 988 -2
27 47 -5
27 760 -1
28 616 1
28 591 4
29 49 -3
29 196 4
29 787 0
29 253 -4
30 955 -3
30 395 -2
31 591 -4
31 716 -2
32 291 4
32 970 -3
33 748 1
33 677 -3
33 6 -2
33 635 -5
34 185 3
35 730 3
35 244 0
35 430 4
35 238 1
35 951 -1
36 255 0
36 894 -2
36 867 -5
37 853 3
37 501 -4
38 936 4
38 34 -1
38 166 1
39 908 -2
39 367 -1
39 992 -5
39 210 -2
40 838 -5
40 7 4
40 907 0
40 251 0
40 577 -2
41 591 -4
41 986 -4
41 438 -1
42 902 -1
43 925 -4
43 447 1
43 874 1
43 136 2
44 352 1
45 193 3
45 364 2
46 67 2
46 952 3
46 891 3
46 539 3
46 439 3
47 310 -1
47 601 -4
47 104 3
47 703 1
48 74 2
48 180 4
48 452 -4
48 999 3
48 559 4
49 19 0
50 72 -4
50 907 -3
50 165 2
50 382 0
51 840 0
51 420 0
52 655 -2
53 597 -5
53 62 -1
53 257 -5
53 250 4
53 253 0
54 373 1
54 890 -5
55 758 4
55 139 2
55 624 2
55 979 -4
55 786 -2
56 403 4
56 546 1
56 557 -2
56 303 1
56 702 -1
57 421 -4
58 191 0
59 494 0
60 130 2
60 947 0
61 722 2
62 220 -5
62 123 1
62 193 -2
62 945 2
63 211 -3
63 258 0
63 889 -3
63 121 3
64 302 -5
65 870 3
65 743 -1
65 953 -2
65 375 3
65 970 2
66 596 1
67 879 -5
67 146 3
67 270 -4
67 885 -1
67 949 -1
68 62 2
68 831 3
68 152 -3
68 995 -5
69 165 3
69 953 1
69 534 3
70 210 3
71 394 -5
71 970 2
71 829 -1
71 840 -5
72 732 4
73 308 4
73 318 4
73 848 1
73 89 2
73 575 1
74 477 2
74 304 0
74 239 -5
75 850 2
75 283 4
75 87 -5
75 394 -4
76 912 3
76 387 3
76 394 -1
76 392 -2
77 700 -2
77 223 0
77 570 1
78 818 0
78 152 -1
78 935 0
79 403 -1
80 116 -3
80 649 -1
81 6 -1
81 156 3
81 835 -1
82 9 -2
82 243 4
82 218 -3
83 779 -1
83 413 4
84 888 -2
84 740 -3
85 268 -5
86 882 -5
87 646 0
87 356 -5
87 861 1
87 592 4
87 476 0
88 397 1
88 194 0
88 767 -1
89 640 2
89 769 3
89 908 2
89 796 -3
90 108 -1
91 435 -4
91 666 0
91 76 -3
91 165 -4
91 739 -1
92 347 0
92 557 4
93 792 -2
93 19 -2
94 256 -1
95 38 3
95 739 -5
95 603 0
95 845 2
95 528 3
96 680 -4
96 950 1
96 840 -5
97 657 0
97 281 4
97 74 3
97 997 -3
97 402 -3
98 751 -5
99 419 -2
99 448 2
99 868 -4
99 406 1
99 426 -5
